text,label
"""Когда поселение в общагу?"",set"
"""Когда я могу поселиться в общежитие"",set"
"""Когда я наконец-то смогу выпрыгнуть из НВК?"",support"
"""Как сбежать из общаги?"",operator"
"""Могу ли я выбрать в какой комнате жить?"",DumbWaysToDie"
"""Можно ли выбрать комнату?"",DumbWaysToDie"
"""Выдадут ли веревку с мылом на складе?"",store"
"""Продают ли мет у вас и как его достать?"",store"
"""Будут ли в общаге негры ебаные?"",neighbours"
"""Можно ли продавать наркоту на первом этаже?"",yes"
"""Где у вас можно отмыть деньги?"",washing"
"""Есть ли комендантские часы?"",huilo"
"""Пустят ли меня в общагу с героином"",yes"
"""Как поселиться в подвале 8-ой общаги?"",basement"
"""Каких размеров комнаты в общаге?"",0m"
"""Почему у меня в комнате находятся какие-то незнакомые люди?"",sobr"
"""Как не попасть в НВК?"",support"
"""Рядом с какой общагой самая дешевая шава?"",shaurma"
